# years, casales, meansales
1970.00 124.80 121.54
1971.00 125.50 124.68
1972.00 134.30 129.32
1973.00 137.90 130.89
1974.00 132.80 133.74
1975.00 131.00 135.54
1976.00 134.20 138.75
1977.00 132.00 137.90
1978.00 129.20 137.13
1979.00 131.50 134.82
1980.00 131.00 134.88
1981.00 133.80 134.98
1982.00 130.50 133.05
1983.00 125.30 128.19
1984.00 119.70 122.25
1985.00 112.40 120.53
1986.00 109.90 117.62
1987.00 102.40 114.73
1988.00 94.60 110.52
1989.00 88.80 106.65
1990.00 87.40 102.36
1991.00 90.20 100.11
1992.00 88.30 98.94
1993.00 88.60 97.47
1994.00 89.10 96.03
1995.00 85.40 95.94
1996.00 83.10 93.92
1997.00 81.30 93.45
1998.00 81.20 92.07
1999.00 79.60 88.92
2000.00 73.00 83.80
2001.00 70.40 80.94
2002.00 66.20 79.20
2003.00 63.80 77.82
2004.00 60.70 72.76
2005.00 57.90 71.47
2006.00 53.10 69.60
2007.00 51.10 67.54
2008.00 48.40 62.99
2009.00 46.00 59.88
2010.00 41.40 54.26
2011.00 40.60 52.54
2012.00 40.60 50.82
2013.00 38.30 48.93
2014.00 36.70 46.71
2015.00 36.30 46.35
2016.00 35.80 45.12
2017.00 34.50 43.59
