# years, casales, meansales
1970.00 157.00 121.54
1971.00 157.90 124.68
1972.00 160.40 129.32
1973.00 155.30 130.89
1974.00 155.80 133.74
1975.00 154.40 135.54
1976.00 156.50 138.75
1977.00 155.60 137.90
1978.00 156.30 137.13
1979.00 150.70 134.82
1980.00 146.50 134.88
1981.00 143.10 134.98
1982.00 135.30 133.05
1983.00 124.60 128.19
1984.00 118.00 122.25
1985.00 118.60 120.53
1986.00 112.00 117.62
1987.00 108.90 114.73
1988.00 108.20 110.52
1989.00 106.60 106.65
1990.00 102.50 102.36
1991.00 100.10 100.11
1992.00 101.60 98.94
1993.00 98.70 97.47
1994.00 96.60 96.03
1995.00 94.60 95.94
1996.00 94.30 93.92
1997.00 89.50 93.45
1998.00 84.20 92.07
1999.00 79.90 88.92
2000.00 72.00 83.80
2001.00 68.60 80.94
2002.00 66.60 79.20
2003.00 60.90 77.82
2004.00 55.20 72.76
2005.00 53.20 71.47
2006.00 54.70 69.60
2007.00 55.50 67.54
2008.00 50.40 62.99
2009.00 48.40 59.88
2010.00 44.70 54.26
2011.00 47.00 52.54
2012.00 44.70 50.82
2013.00 43.30 48.93
2014.00 41.40 46.71
2015.00 40.50 46.35
2016.00 40.00 45.12
2017.00 38.30 43.59
