# years, casales, meansales
1970.00 119.00 121.54
1971.00 123.30 124.68
1972.00 119.90 129.32
1973.00 118.70 130.89
1974.00 121.60 133.74
1975.00 123.90 135.54
1976.00 124.60 138.75
1977.00 125.50 137.90
1978.00 126.40 137.13
1979.00 124.40 134.82
1980.00 127.60 134.88
1981.00 130.10 134.98
1982.00 128.50 133.05
1983.00 124.60 128.19
1984.00 119.30 122.25
1985.00 115.90 120.53
1986.00 114.00 117.62
1987.00 108.90 114.73
1988.00 106.20 110.52
1989.00 100.10 106.65
1990.00 93.70 102.36
1991.00 86.40 100.11
1992.00 82.40 98.94
1993.00 78.20 97.47
1994.00 71.60 96.03
1995.00 70.50 95.94
1996.00 65.90 93.92
1997.00 64.50 93.45
1998.00 64.90 92.07
1999.00 62.90 88.92
2000.00 57.80 83.80
2001.00 48.00 80.94
2002.00 46.50 79.20
2003.00 35.30 77.82
2004.00 33.70 72.76
2005.00 32.40 71.47
2006.00 32.40 69.60
2007.00 32.30 67.54
2008.00 31.50 62.99
2009.00 24.80 59.88
2010.00 24.10 54.26
2011.00 18.30 52.54
2012.00 18.00 50.82
2013.00 16.60 48.93
2014.00 15.40 46.71
2015.00 14.60 46.35
2016.00 14.00 45.12
2017.00 13.30 43.59
