# predictor, synthetic, actual, weights
1.970000000000000000e+03 1.076633705075440304e+02 1.085000000000000000e+02 5.555555438796733886e-02
1.971000000000000000e+03 1.084204815713150936e+02 1.084000015258789062e+02 5.555555438796733886e-02
1.972000000000000000e+03 1.097889644456210050e+02 1.094000015258789062e+02 5.555555438796733886e-02
1.973000000000000000e+03 1.128316174775502390e+02 1.105999984741210938e+02 5.555555438796733886e-02
1.974000000000000000e+03 1.162309295240271183e+02 1.160999984741210938e+02 5.555557540455520471e-02
1.975000000000000000e+03 1.213064540617639295e+02 1.205000000000000000e+02 5.555555438796733886e-02
1.976000000000000000e+03 1.241606702647229241e+02 1.244000015258789062e+02 5.555557540455520471e-02
1.977000000000000000e+03 1.245554574824038667e+02 1.255000000000000000e+02 5.555555438796733886e-02
1.978000000000000000e+03 1.247927860617412819e+02 1.270999984741210938e+02 5.555557540455520471e-02
1.979000000000000000e+03 1.259289315123086652e+02 1.241999969482421875e+02 5.555557540455520471e-02
1.980000000000000000e+03 1.234698159316312456e+02 1.245999984741210938e+02 5.555557540455520471e-02
1.981000000000000000e+03 1.263064463301047624e+02 1.328999938964843750e+02 5.555555438796733886e-02
1.982000000000000000e+03 1.230529454386157227e+02 1.161999969482421875e+02 5.555555438796733886e-02
1.983000000000000000e+03 1.160395347166999187e+02 1.155999984741210938e+02 5.555557540455520471e-02
1.984000000000000000e+03 1.101298116121753878e+02 1.111999969482421875e+02 5.555557540455520471e-02
1.985000000000000000e+03 1.087435294971102024e+02 1.094000015258789062e+02 5.555555438796733886e-02
1.986000000000000000e+03 1.052107852213557635e+02 1.040999984741210938e+02 5.555555438796733886e-02
1.987000000000000000e+03 1.014343925566527105e+02 1.010999984741210938e+02 5.555555438796733886e-02
