AK	0.004
AR	0.023
CO	0.004
CT	0.018
DE	0.025
GA	0.023
ID	0.006
IL	0.010
IN	0.205
IA	0.009
KS	0.009
KY	0.036
MN	0.009
MS	0.015
MO	0.020
MT	0.003
NE	0.007
NV	0.018
NH	0.018
NM	0.005
NC	0.018
ND	0.005
OH	0.021
OK	0.011
PA	0.015
RI	0.036
SC	0.019
SD	0.008
TN	0.280
TX	0.012
UT	0.019
VT	0.016
VA	0.021
WV	0.026
WI	0.019
WY	0.006
