# years, casales, meansales
1970.00 109.90 121.54
1971.00 115.70 124.68
1972.00 117.00 129.32
1973.00 119.80 130.89
1974.00 123.70 133.74
1975.00 122.90 135.54
1976.00 125.90 138.75
1977.00 127.90 137.90
1978.00 130.60 137.13
1979.00 131.00 134.82
1980.00 134.00 134.88
1981.00 131.70 134.98
1982.00 131.20 133.05
1983.00 128.60 128.19
1984.00 126.30 122.25
1985.00 128.80 120.53
1986.00 129.00 117.62
1987.00 129.30 114.73
1988.00 124.10 110.52
1989.00 117.10 106.65
1990.00 113.80 102.36
1991.00 109.60 100.11
1992.00 109.20 98.94
1993.00 109.20 97.47
1994.00 107.80 96.03
1995.00 100.30 95.94
1996.00 102.70 93.92
1997.00 100.60 93.45
1998.00 100.50 92.07
1999.00 97.10 88.92
2000.00 88.10 83.80
2001.00 85.90 80.94
2002.00 79.50 79.20
2003.00 83.10 77.82
2004.00 68.10 72.76
2005.00 70.20 71.47
2006.00 68.20 69.60
2007.00 64.70 67.54
2008.00 61.60 62.99
2009.00 58.80 59.88
2010.00 55.30 54.26
2011.00 54.30 52.54
2012.00 53.10 50.82
2013.00 49.90 48.93
2014.00 49.00 46.71
2015.00 47.30 46.35
2016.00 47.30 45.12
2017.00 45.60 43.59
