# years, casales, meansales
1970.00 121.30 121.54
1971.00 123.00 124.68
1972.00 130.00 129.32
1973.00 125.80 130.89
1974.00 130.40 133.74
1975.00 150.40 135.54
1976.00 164.80 138.75
1977.00 159.30 137.90
1978.00 143.60 137.13
1979.00 138.10 134.82
1980.00 134.00 134.88
1981.00 144.00 134.98
1982.00 148.30 133.05
1983.00 146.90 128.19
1984.00 133.60 122.25
1985.00 128.90 120.53
1986.00 126.30 117.62
1987.00 110.40 114.73
1988.00 80.00 110.52
1989.00 94.40 106.65
1990.00 100.20 102.36
1991.00 101.80 100.11
1992.00 98.50 98.94
1993.00 95.20 97.47
1994.00 94.10 96.03
1995.00 89.50 95.94
1996.00 89.90 93.92
1997.00 81.70 93.45
1998.00 78.60 92.07
1999.00 70.50 88.92
2000.00 66.00 83.80
2001.00 65.20 80.94
2002.00 63.70 79.20
2003.00 63.60 77.82
2004.00 63.60 72.76
2005.00 60.20 71.47
2006.00 54.50 69.60
2007.00 52.90 67.54
2008.00 47.00 62.99
2009.00 45.80 59.88
2010.00 43.80 54.26
2011.00 43.30 52.54
2012.00 41.20 50.82
2013.00 39.00 48.93
2014.00 37.20 46.71
2015.00 35.80 46.35
2016.00 35.60 45.12
2017.00 32.90 43.59
