# years, casales, meansales
1970.00 123.00 121.54
1971.00 121.00 124.68
1972.00 123.50 129.32
1973.00 124.40 130.89
1974.00 126.70 133.74
1975.00 127.10 135.54
1976.00 128.00 138.75
1977.00 126.40 137.90
1978.00 126.10 137.13
1979.00 121.90 134.82
1980.00 120.20 134.88
1981.00 118.60 134.98
1982.00 115.40 133.05
1983.00 110.80 128.19
1984.00 104.80 122.25
1985.00 102.80 120.53
1986.00 99.70 117.62
1987.00 97.50 114.73
1988.00 90.10 110.52
1989.00 82.40 106.65
1990.00 77.80 102.36
1991.00 68.70 100.11
1992.00 67.50 98.94
1993.00 63.40 97.47
1994.00 58.60 96.03
1995.00 56.40 95.94
1996.00 54.50 93.92
1997.00 53.80 93.45
1998.00 52.30 92.07
1999.00 47.20 88.92
2000.00 41.60 83.80
2001.00 38.00 80.94
2002.00 35.80 79.20
2003.00 34.70 77.82
2004.00 33.10 72.76
2005.00 33.10 71.47
2006.00 32.90 69.60
2007.00 31.80 67.54
2008.00 30.30 62.99
2009.00 28.80 59.88
2010.00 26.30 54.26
2011.00 26.00 52.54
2012.00 25.20 50.82
2013.00 23.90 48.93
2014.00 22.70 46.71
2015.00 22.30 46.35
2016.00 22.00 45.12
2017.00 20.50 43.59
