# years, casales, meansales
1970.00 124.30 121.54
1971.00 128.40 124.68
1972.00 137.00 129.32
1973.00 143.10 130.89
1974.00 149.60 133.74
1975.00 152.70 135.54
1976.00 158.10 138.75
1977.00 157.70 137.90
1978.00 155.90 137.13
1979.00 151.80 134.82
1980.00 148.90 134.88
1981.00 149.90 134.98
1982.00 147.40 133.05
1983.00 144.70 128.19
1984.00 136.80 122.25
1985.00 134.60 120.53
1986.00 135.80 117.62
1987.00 133.00 114.73
1988.00 129.50 110.52
1989.00 122.50 106.65
1990.00 118.90 102.36
1991.00 109.10 100.11
1992.00 108.20 98.94
1993.00 105.40 97.47
1994.00 106.20 96.03
1995.00 106.70 95.94
1996.00 104.60 93.92
1997.00 108.00 93.45
1998.00 105.60 92.07
1999.00 102.10 88.92
2000.00 96.70 83.80
2001.00 94.10 80.94
2002.00 92.10 79.20
2003.00 95.50 77.82
2004.00 97.40 72.76
2005.00 82.50 71.47
2006.00 78.90 69.60
2007.00 76.10 67.54
2008.00 73.60 62.99
2009.00 73.40 59.88
2010.00 68.90 54.26
2011.00 67.10 52.54
2012.00 72.40 50.82
2013.00 69.40 48.93
2014.00 67.00 46.71
2015.00 66.10 46.35
2016.00 63.60 45.12
2017.00 60.80 43.59
