# years, casales, meansales
1970.00 65.50 121.54
1971.00 67.70 124.68
1972.00 71.30 129.32
1973.00 72.70 130.89
1974.00 75.60 133.74
1975.00 75.80 135.54
1976.00 77.90 138.75
1977.00 78.90 137.90
1978.00 79.60 137.13
1979.00 79.10 134.82
1980.00 74.80 134.88
1981.00 77.60 134.98
1982.00 73.60 133.05
1983.00 69.00 128.19
1984.00 66.30 122.25
1985.00 66.50 120.53
1986.00 64.40 117.62
1987.00 67.70 114.73
1988.00 55.00 110.52
1989.00 57.00 106.65
1990.00 53.40 102.36
1991.00 53.50 100.11
1992.00 55.00 98.94
1993.00 56.20 97.47
1994.00 55.80 96.03
1995.00 52.00 95.94
1996.00 54.00 93.92
1997.00 57.00 93.45
1998.00 42.30 92.07
1999.00 43.90 88.92
2000.00 40.70 83.80
2001.00 38.70 80.94
2002.00 40.10 79.20
2003.00 36.50 77.82
2004.00 34.20 72.76
2005.00 33.60 71.47
2006.00 34.50 69.60
2007.00 32.90 67.54
2008.00 31.30 62.99
2009.00 27.60 59.88
2010.00 26.70 54.26
2011.00 22.30 52.54
2012.00 23.00 50.82
2013.00 21.40 48.93
2014.00 19.50 46.71
2015.00 20.00 46.35
2016.00 18.50 45.12
2017.00 18.40 43.59
