# years, casales, meansales
1970.00 124.80 121.54
1971.00 125.60 124.68
1972.00 126.60 129.32
1973.00 124.40 130.89
1974.00 131.90 133.74
1975.00 131.80 135.54
1976.00 134.40 138.75
1977.00 134.00 137.90
1978.00 136.70 137.13
1979.00 135.30 134.82
1980.00 135.20 134.88
1981.00 133.00 134.98
1982.00 130.70 133.05
1983.00 127.90 128.19
1984.00 124.00 122.25
1985.00 121.60 120.53
1986.00 118.20 117.62
1987.00 109.50 114.73
1988.00 107.60 110.52
1989.00 104.60 106.65
1990.00 94.10 102.36
1991.00 96.10 100.11
1992.00 94.80 98.94
1993.00 94.60 97.47
1994.00 85.70 96.03
1995.00 84.30 95.94
1996.00 81.80 93.92
1997.00 79.60 93.45
1998.00 80.30 92.07
1999.00 72.20 88.92
2000.00 70.00 83.80
2001.00 67.10 80.94
2002.00 70.90 79.20
2003.00 51.40 77.82
2004.00 60.00 72.76
2005.00 52.20 71.47
2006.00 51.50 69.60
2007.00 48.60 67.54
2008.00 47.90 62.99
2009.00 45.20 59.88
2010.00 44.10 54.26
2011.00 45.30 52.54
2012.00 46.50 50.82
2013.00 31.70 48.93
2014.00 33.60 46.71
2015.00 33.40 46.35
2016.00 31.50 45.12
2017.00 30.70 43.59
