# years, casales, meansales
1970.00 123.50 121.54
1971.00 126.70 124.68
1972.00 133.20 129.32
1973.00 137.30 130.89
1974.00 144.80 133.74
1975.00 146.10 135.54
1976.00 137.10 138.75
1977.00 135.70 137.90
1978.00 134.10 137.13
1979.00 131.90 134.82
1980.00 131.50 134.88
1981.00 137.10 134.98
1982.00 131.30 133.05
1983.00 128.20 128.19
1984.00 122.50 122.25
1985.00 121.90 120.53
1986.00 121.80 117.62
1987.00 119.30 114.73
1988.00 115.00 110.52
1989.00 109.00 106.65
1990.00 102.80 102.36
1991.00 97.60 100.11
1992.00 91.70 98.94
1993.00 82.60 97.47
1994.00 80.80 96.03
1995.00 77.10 95.94
1996.00 75.00 93.92
1997.00 72.70 93.45
1998.00 72.00 92.07
1999.00 71.40 88.92
2000.00 57.70 83.80
2001.00 58.10 80.94
2002.00 56.00 79.20
2003.00 49.50 77.82
2004.00 48.90 72.76
2005.00 48.70 71.47
2006.00 48.90 69.60
2007.00 48.30 67.54
2008.00 43.30 62.99
2009.00 35.40 59.88
2010.00 35.00 54.26
2011.00 34.60 52.54
2012.00 34.40 50.82
2013.00 32.60 48.93
2014.00 31.60 46.71
2015.00 30.40 46.35
2016.00 30.40 45.12
2017.00 29.20 43.59
