# years, casales, meansales
1970.00 134.60 121.54
1971.00 139.30 124.68
1972.00 149.20 129.32
1973.00 156.00 130.89
1974.00 159.60 133.74
1975.00 162.40 135.54
1976.00 166.60 138.75
1977.00 173.00 137.90
1978.00 150.90 137.13
1979.00 148.90 134.82
1980.00 146.90 134.88
1981.00 148.50 134.98
1982.00 147.70 133.05
1983.00 143.00 128.19
1984.00 137.80 122.25
1985.00 135.30 120.53
1986.00 137.60 117.62
1987.00 134.00 114.73
1988.00 134.00 110.52
1989.00 132.50 106.65
1990.00 128.30 102.36
1991.00 127.20 100.11
1992.00 128.20 98.94
1993.00 126.80 97.47
1994.00 128.20 96.03
1995.00 135.40 95.94
1996.00 135.10 93.92
1997.00 135.30 93.45
1998.00 135.90 92.07
1999.00 133.30 88.92
2000.00 125.50 83.80
2001.00 121.40 80.94
2002.00 121.40 79.20
2003.00 101.10 77.82
2004.00 97.70 72.76
2005.00 96.10 71.47
2006.00 98.70 69.60
2007.00 102.30 67.54
2008.00 81.70 62.99
2009.00 78.90 59.88
2010.00 71.70 54.26
2011.00 69.60 52.54
2012.00 66.00 50.82
2013.00 66.90 48.93
2014.00 63.60 46.71
2015.00 62.70 46.35
2016.00 62.40 45.12
2017.00 61.20 43.59
