DATE,ARPCPI
1929-01-01,303
1930-01-01,224
1931-01-01,207
1932-01-01,152
1933-01-01,153
1934-01-01,182
1935-01-01,204
1936-01-01,243
1937-01-01,253
1938-01-01,228
1939-01-01,246
1940-01-01,257
1941-01-01,344
1942-01-01,491
1943-01-01,572
1944-01-01,698
1945-01-01,753
1946-01-01,760
1947-01-01,740
1948-01-01,881
1949-01-01,818
1950-01-01,849.0
1951-01-01,970.0
1952-01-01,1043.0
1953-01-01,1084.0
1954-01-01,1100.0
1955-01-01,1202.0
1956-01-01,1262.0
1957-01-01,1280.0
1958-01-01,1339.0
1959-01-01,1436.0
1960-01-01,1424.0
1961-01-01,1535.0
1962-01-01,1600.0
1963-01-01,1676.0
1964-01-01,1799.0
1965-01-01,1902.0
1966-01-01,2109.0
1967-01-01,2238.0
1968-01-01,2419.0
1969-01-01,2681.0
1970-01-01,2915.0
1971-01-01,3176.0
1972-01-01,3504.0
1973-01-01,4069.0
1974-01-01,4453.0
1975-01-01,4769.0
1976-01-01,5247.0
1977-01-01,5736.0
1978-01-01,6546.0
1979-01-01,7090.0
1980-01-01,7597.0
1981-01-01,8592.0
1982-01-01,9024.0
1983-01-01,9513.0
1984-01-01,10543.0
1985-01-01,11165.0
1986-01-01,11708.0
1987-01-01,12139.0
1988-01-01,13022.0
1989-01-01,13946.0
1990-01-01,14622.0
1991-01-01,15299.0
1992-01-01,16438.0
1993-01-01,16956.0
1994-01-01,17758.0
1995-01-01,18602.0
1996-01-01,19458.0
1997-01-01,20187.0
1998-01-01,21291
1999-01-01,21920
2000-01-01,22824
2001-01-01,23917
2002-01-01,24346
2003-01-01,25588
2004-01-01,26970
2005-01-01,28096
2006-01-01,29422
2007-01-01,31062
2008-01-01,31935
2009-01-01,31152
2010-01-01,31866
2011-01-01,33801
2012-01-01,36124
2013-01-01,35995
2014-01-01,37985
2015-01-01,39067
2016-01-01,39746
2017-01-01,41046
